species	common_name	taxon_id	order	family	individual	type	info	file	etag
Aglais io	European peacock	171585	Lepidoptera	Nymphalidae	ilAglIoxx1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_io/ilAglIoxx1/genomic_data/10x/33610_5%231.cram	c36fabb4af2e548619c3a779b086e860-441
Aglais io	European peacock	171585	Lepidoptera	Nymphalidae	ilAglIoxx1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_io/ilAglIoxx1/genomic_data/10x/33610_5%232.cram	136ea021505c342a1448f1bce23e7e2f-299
Aglais io	European peacock	171585	Lepidoptera	Nymphalidae	ilAglIoxx1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_io/ilAglIoxx1/genomic_data/10x/33610_5%233.cram	c3a1bc5c23497e0e4d4374f05118c32b-543
Aglais io	European peacock	171585	Lepidoptera	Nymphalidae	ilAglIoxx1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_io/ilAglIoxx1/genomic_data/10x/33610_5%234.cram	ca4cb4181957e54a33de18758b4c3c36-392
Aglais io	European peacock	171585	Lepidoptera	Nymphalidae	ilAglIoxx1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Aglais_io/ilAglIoxx1/genomic_data/pacbio/m64097_200221_153301.ccs.bam	73974e1c5d9f05f858051d04e07430a0-1390
Aglais io	European peacock	171585	Lepidoptera	Nymphalidae	ilAglIoxx1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Aglais_io/ilAglIoxx1/genomic_data/pacbio/m64097_200221_153301.ccs.bam.pbi	cfa42e1af22272d9b6c85d3bdf0da0cf-2
Aglais urticae	small tortoiseshell	111881	Lepidoptera	Nymphalidae	ilAglUrti1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_urticae/ilAglUrti1/genomic_data/10x/32820_4%231.cram	684eec00117194e7dcf18f8434848769-363
Aglais urticae	small tortoiseshell	111881	Lepidoptera	Nymphalidae	ilAglUrti1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_urticae/ilAglUrti1/genomic_data/10x/32820_4%232.cram	fb991d7486adb2a4a98376474e52e0f9-449
Aglais urticae	small tortoiseshell	111881	Lepidoptera	Nymphalidae	ilAglUrti1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_urticae/ilAglUrti1/genomic_data/10x/32820_4%233.cram	e54ceafd4e5b75c92731b3141d9a2d55-471
Aglais urticae	small tortoiseshell	111881	Lepidoptera	Nymphalidae	ilAglUrti1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Aglais_urticae/ilAglUrti1/genomic_data/10x/32820_4%234.cram	19a7cc5f3325f0275f9e8c2675087af0-344
Aglais urticae	small tortoiseshell	111881	Lepidoptera	Nymphalidae	ilAglUrti1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Aglais_urticae/ilAglUrti1/genomic_data/pacbio/m64094_200304_150235.ccs.bam	aa4ebae5f027537817e9727369b26b60-1275
Aglais urticae	small tortoiseshell	111881	Lepidoptera	Nymphalidae	ilAglUrti1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Aglais_urticae/ilAglUrti1/genomic_data/pacbio/m64094_200304_150235.ccs.bam.pbi	33ea0abbcb8849484702b32c5276bb95-2
Anthocharis cardamines	orange tip	227532	Lepidoptera	Pieridae	ilAntCard3	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Anthocharis_cardamines/ilAntCard3/genomic_data/10x/33032_7%231.cram	6b676364e15139d06f0a21eafe5e467b-409
Anthocharis cardamines	orange tip	227532	Lepidoptera	Pieridae	ilAntCard3	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Anthocharis_cardamines/ilAntCard3/genomic_data/10x/33032_7%232.cram	79c96f08a0800a939906a4f6fac92909-520
Anthocharis cardamines	orange tip	227532	Lepidoptera	Pieridae	ilAntCard3	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Anthocharis_cardamines/ilAntCard3/genomic_data/10x/33032_7%233.cram	732435475f165f833d78415d58503e75-284
Anthocharis cardamines	orange tip	227532	Lepidoptera	Pieridae	ilAntCard3	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Anthocharis_cardamines/ilAntCard3/genomic_data/10x/33032_7%234.cram	dd5406d6c7d87283b11a5f19346be977-356
Anthocharis cardamines	orange tip	227532	Lepidoptera	Pieridae	ilAntCard3	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Anthocharis_cardamines/ilAntCard3/genomic_data/pacbio/m64094_191206_173655.ccs.bam	95131c805253fe9d3a6b6bdd7f2fe7b9-1318
Anthocharis cardamines	orange tip	227532	Lepidoptera	Pieridae	ilAntCard3	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Anthocharis_cardamines/ilAntCard3/genomic_data/pacbio/m64094_191206_173655.ccs.bam.pbi	527cb8a66d4ca998b7d6ee9723f77be7-2
Apatura iris	purple emperor	191396	Lepidoptera	Nymphalidae	ilApaIris1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Apatura_iris/ilApaIris1/genomic_data/10x/33032_8%235.cram	f9e5bcb08c73a79d2707862bb62a1fed-405
Apatura iris	purple emperor	191396	Lepidoptera	Nymphalidae	ilApaIris1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Apatura_iris/ilApaIris1/genomic_data/10x/33032_8%236.cram	815a74e388f7679814a15953ce63221e-412
Apatura iris	purple emperor	191396	Lepidoptera	Nymphalidae	ilApaIris1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Apatura_iris/ilApaIris1/genomic_data/10x/33032_8%237.cram	d769ed0481a2658f9d23f78acff23aee-443
Apatura iris	purple emperor	191396	Lepidoptera	Nymphalidae	ilApaIris1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Apatura_iris/ilApaIris1/genomic_data/10x/33032_8%238.cram	ed03e59f34aeb964953d9e6b6eb7d277-438
Apatura iris	purple emperor	191396	Lepidoptera	Nymphalidae	ilApaIris1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Apatura_iris/ilApaIris1/genomic_data/pacbio/m64016_191207_184901.ccs.bam	539ccca716a6d686bcd3577db72f5e43-1050
Apatura iris	purple emperor	191396	Lepidoptera	Nymphalidae	ilApaIris1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Apatura_iris/ilApaIris1/genomic_data/pacbio/m64016_191207_184901.ccs.bam.pbi	7a853e3371f81ddc7690d2814692bc15
Argynnis aglaja	dark green fritillary	405010	Lepidoptera	Nymphalidae	ilArgAgla2	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Argynnis_aglaja/ilArgAgla2/genomic_data/10x/33610_5%235.cram	21729722c3324ec09d3941332873f5de-416
Argynnis aglaja	dark green fritillary	405010	Lepidoptera	Nymphalidae	ilArgAgla2	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Argynnis_aglaja/ilArgAgla2/genomic_data/10x/33610_5%236.cram	309ad041b517a21f3dd77492feb97252-394
Argynnis aglaja	dark green fritillary	405010	Lepidoptera	Nymphalidae	ilArgAgla2	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Argynnis_aglaja/ilArgAgla2/genomic_data/10x/33610_5%237.cram	bc6da00e32b3bc13df5bf4e662e1b02e-389
Argynnis aglaja	dark green fritillary	405010	Lepidoptera	Nymphalidae	ilArgAgla2	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Argynnis_aglaja/ilArgAgla2/genomic_data/10x/33610_5%238.cram	e6aff900a9ba131e270c1d34f4a1a6e6-344
