individual	type	info	file	etag
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_0.fastq.gz	ff81d05a978c995fc8b87e57ccf7a3c9
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_1.fastq.gz	b2bc5025cb1e3c5e177b088dd9968a95-3
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_2.fastq.gz	ad0e8349ea01ae56c96955509872459f-4
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_3.fastq.gz	3eabf0d4a30ae57fb5e7bb6250e5c22a-5
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_4.fastq.gz	c156a696ccae53a4e208b5322408b521-5
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_5.fastq.gz	f3ef6acc55cf532268937eeeca11763c-5
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_6.fastq.gz	958019ae9b75e5c4f965902beb3c9873-5
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_7.fastq.gz	dc10797ef33092bd121ba7069d1b7a10-5
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_8.fastq.gz	8fd092ffff1633e3672806edfefbed64-5
icHarAxyr1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Harmonia_axyridis/icHarAxyr1/genomic_data/ont/fastq_pass_SS/PAE35980_6a9db782fe5a2fd273496f2e584ce063604919c0_9.fastq.gz	13096683c97cd603abff6dcb6d2cba80-5
