individual	type	info	file	etag
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/31782_6%235.cram	c524c1a929444521cd672318195fb20e-363
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/31782_6%236.cram	bdf77e4afc7a5f4a8a0b869bdff31727-546
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/31782_6%237.cram	fd4174b26358a1bca11d371c71e1013d-379
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/31782_6%238.cram	dc14b6a8408dc4a844a2ffe23e95fc8a-434
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/32820_7%2313.cram	c38b403d5b2956ea2dd1ed070e8e9464-114
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/32820_7%2314.cram	85cca83cdb242069d281f16910cd37f5-172
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/32820_7%2315.cram	69cb8322ca67bbb6329eda19e3360bdd-121
ilMytImpu1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/10x/32820_7%2316.cram	27351053c732d4be7bb6d1e2047b957e-137
ilMytImpu1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/pacbio/m64016_191020_002959.bc1010_BAK8A_OA--bc1010_BAK8A_OA.ccs.bam	2306af69f10973f91b0e4a89b313f0a1-1418
ilMytImpu1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Mythimna_impura/ilMytImpu1/genomic_data/pacbio/m64016_191020_002959.bc1010_BAK8A_OA--bc1010_BAK8A_OA.ccs.bam.pbi	d466870052951f94a2e74a7f2c8c501e-2
