individual	type	info	file	etag
ilThyBati1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/10x/31782_7%231.cram	66cca6fafa693a648dc94530a77b48cb-436
ilThyBati1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/10x/31782_7%232.cram	c89ff41554b14ace2e7da75971031669-318
ilThyBati1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/10x/31782_7%233.cram	c55f260231b36fff3827c9bd6ee8304f-379
ilThyBati1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/10x/31782_7%234.cram	bf4bdd555d7127224e8cdf3ece5e1352-392
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_0.fastq.gz	2332702970af3014fe952ed94ad387a8-2
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_1.fastq.gz	a61ce52d33fc754077a3eb7a3aca87f4-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_2.fastq.gz	e1da3d715114ad5030fa819d3b078a1c-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_3.fastq.gz	09f6b96aebec1dfccb66884c387560e5-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_4.fastq.gz	f72745794d2d7792b7f362d9b3f3e5f5-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_5.fastq.gz	87580dba6a6b0b717cbbd0c36ce11051-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_6.fastq.gz	ecbde3113ffb0adf028235bcb4add617-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_7.fastq.gz	b2fcbabbe9ea57d133274b0c45c863a6-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_8.fastq.gz	6090c37e137d627d74155d9f591077b3-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_9.fastq.gz	8d62dc769aca0dcef11d0331e8a6e980-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_10.fastq.gz	d6b2f335397a6353c53dfe9c3eefb1cc-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_11.fastq.gz	6cb2e6fea14d222c5d903b71b0b197c1-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_12.fastq.gz	1c5fe7c93ed588d23d789a4b662d8d5a-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_13.fastq.gz	f017991ebd9b781cd82534d31d172b39-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_14.fastq.gz	9011a23097def0fdcc54af14c2d1b837-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_15.fastq.gz	eb5de04f088ccea0c16a33032edfa7aa-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_16.fastq.gz	304d839a6d05bcb8fb45f38ad50a72f0-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_17.fastq.gz	365415cd2126bb2290618806517a59b8-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_18.fastq.gz	82c99305502c8261cccba158ddb2d4ad-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_19.fastq.gz	9d3387e1ef02a459f9fec5ea7a933ae3-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_20.fastq.gz	56a8f39c922fe3984e17c9b62c297b93-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_21.fastq.gz	93fd98e234b95ba21216312fefa98f60-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_22.fastq.gz	a6e7c3456c33ecf0a6b8e3af0652a5e1-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_23.fastq.gz	b914ece17ec969d24786b9588f495e72-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_24.fastq.gz	3ba3d0bd981d5fbe09942669942e45f4-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_25.fastq.gz	c32d6d5734f78bf918ed09465a3522e8-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_26.fastq.gz	f677a0fe56a12edd69e9769909ed1300-5
ilThyBati1	ont.fastq_pass		https://darwin.cog.sanger.ac.uk/insects/Thyatira_batis/ilThyBati1/genomic_data/ont/fastq_pass/PAE47474_pass_b48d9492_27.fastq.gz	f0f52983f8408bdb32f4da9737d670ed-5
