individual	type	info	file	etag
ilVanAtal1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/10x/30996_8%231.cram	74b62c73e9b7c5ac61371a94fe6396f8-370
ilVanAtal1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/10x/30996_8%232.cram	7a7ad423113a36a24c67d6e28776fc41-365
ilVanAtal1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/10x/30996_8%233.cram	f491a08d6e1a6e0697b39c9c45f5b7d7-451
ilVanAtal1	10x.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/10x/30996_8%234.cram	a29c645bf1970820357bd6a55edc1926-419
ilVanAtal1	arima.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/arima/32266_4%231.cram	00c35c889009fc31cffffed8bd3606a0-1006
ilVanAtal1	arima.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/arima/32266_5%231.cram	22156cc06d0b8146a6760e2f0981eb92-987
ilVanAtal1	arima.ucram		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/arima/32266_6%231.cram	8e226893b8f80a0951a7d228a4d300a1-973
ilVanAtal1	pacbio.ccs.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/pacbio/m64016_190918_162737.ccs.bam	35d403b136c69d9b58bcd1a255602dc7-1064
ilVanAtal1	pacbio.ccs.index		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/pacbio/m64016_190918_162737.ccs.bam.pbi	804fce4b4a229efd34a35fdc0493421b-2
ilVanAtal1	pacbio.subreads.bam	S/P4-C2/5.0-8M	https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/pacbio/m64016_190918_162737.subreads.bam	545aa8161e6c9996dd1799ebff46d8db-6563
ilVanAtal1	pacbio.subreads.index		https://darwin.cog.sanger.ac.uk/insects/Vanessa_atalanta/ilVanAtal1/genomic_data/pacbio/m64016_190918_162737.subreads.bam.pbi	51736b342b249db3795f535405c5eff1-30
